index,db_id,prompt_tokens,new_tokens,calls,total_iterations,avg_iter_per_call,avg_iter_per_token,time_sec,toks_per_sec,stop_reason,success,reward
0,video_games,393,71,3,37,12.333333333333334,0.5211267605633803,2.3009140491485596,41.02813959128394,eos,True,1.0
1,retail_complains,594,77,3,41,13.666666666666666,0.5324675324675324,1.4278249740600586,57.05374191439844,eos,True,1.0
2,disney,340,21,2,8,4.0,0.38095238095238093,0.3354954719543457,75.2460394900354,eos,True,1.0
3,legislator,835,33,2,23,11.5,0.696969696969697,0.8056151866912842,44.24493376257049,eos,True,1.0
4,food_inspection_2,420,49,2,23,11.5,0.46938775510204084,0.8608474731445312,61.54966369454266,eos,True,1.0
5,mondial_geo,3025,43,2,24,12.0,0.5581395348837209,0.9116208553314209,52.88306185475264,eos,True,1.0
6,shakespeare,303,27,2,9,4.5,0.3333333333333333,0.3416171073913574,95.68652141004632,eos,False,0.0
7,food_inspection_2,417,42,2,28,14.0,0.6666666666666666,0.9413394927978516,46.62721470536247,eos,True,1.0
8,movie_3,1312,70,3,42,14.0,0.6,1.3293979167938232,55.553199302204746,eos,False,0.0
9,car_retails,709,118,3,64,21.333333333333332,0.5423728813559322,1.9739770889282227,61.56705700666324,eos,True,1.0
10,food_inspection,350,63,2,33,16.5,0.5238095238095238,1.0595264434814453,62.23669623353971,eos,True,1.0
11,superstore,682,92,3,39,13.0,0.42391304347826086,1.1860957145690918,81.2280026162112,eos,False,0.0
12,regional_sales,548,70,3,42,14.0,0.6,1.248293399810791,58.61607957655715,eos,True,1.0
13,talkingdata,881,50,2,28,14.0,0.56,0.8117713928222656,64.75153813882018,eos,True,1.0
14,video_games,387,77,3,39,13.0,0.5064935064935064,1.0723400115966797,75.20188098660458,eos,True,1.0
15,ice_hockey_draft,385,48,2,22,11.0,0.4583333333333333,0.6762685775756836,76.51509682664798,eos,True,1.0
16,works_cycles,6653,27,2,19,9.5,0.7037037037037037,0.7629237174987793,45.12178979629753,eos,False,0.0
17,simpson_episodes,455,55,2,35,17.5,0.6363636363636364,0.9291019439697266,61.92475072986791,eos,True,1.0
18,movies_4,823,64,3,31,10.333333333333334,0.484375,1.045994520187378,64.25322485222728,eos,True,1.0
19,food_inspection_2,416,44,2,19,9.5,0.4318181818181818,0.5762262344360352,82.14466302573432,eos,True,1.0
20,cars,225,51,2,31,15.5,0.6078431372549019,0.9755728244781494,55.77525415997418,eos,True,1.0
21,student_loan,495,26,2,13,6.5,0.5,0.4260447025299072,67.26158711277814,eos,True,1.0
22,legislator,838,56,2,27,13.5,0.48214285714285715,0.7511050701141357,78.95056451457198,eos,True,1.0
23,olympics,524,28,2,16,8.0,0.5714285714285714,0.4678947925567627,66.74519048254056,eos,True,1.0
24,hockey,2737,66,3,35,11.666666666666666,0.5303030303030303,0.9612162113189697,75.75539022466263,eos,True,1.0
25,public_review_platform,1145,38,2,18,9.0,0.47368421052631576,0.5082793235778809,83.22517144380731,eos,True,1.0
26,works_cycles,6659,37,2,22,11.0,0.5945945945945946,0.7338061332702637,64.14988552684363,eos,True,1.0
27,works_cycles,6651,19,2,8,4.0,0.42105263157894735,0.3667323589324951,86.25445391788209,eos,True,1.0
28,movies_4,820,27,2,14,7.0,0.5185185185185185,0.41822028160095215,71.21778881224269,eos,True,1.0
29,public_review_platform,1140,45,2,26,13.0,0.5777777777777777,0.6531703472137451,73.70867438883964,eos,False,0.0
30,talkingdata,885,64,3,24,8.0,0.375,0.6165237426757812,111.8137551479922,eos,True,1.0
31,retail_complains,586,51,2,27,13.5,0.5294117647058824,0.8051168918609619,66.04284212388683,eos,True,1.0
32,car_retails,709,54,2,27,13.5,0.5,0.7043282985687256,80.16671552723984,eos,True,1.0
33,simpson_episodes,456,44,2,26,13.0,0.5909090909090909,0.7901008129119873,58.09257907548153,eos,True,1.0
34,public_review_platform,1137,41,2,18,9.0,0.43902439024390244,0.5430867671966553,81.90922230228662,eos,True,1.0
35,bike_share_1,436,54,2,33,16.5,0.6111111111111112,0.8760073184967041,64.43904599378945,eos,True,1.0
36,retail_world,449,35,2,22,11.0,0.6285714285714286,0.6485767364501953,57.91786676071703,eos,True,1.0
37,image_and_language,511,99,3,57,19.0,0.5757575757575758,1.439209222793579,70.96234116835433,eos,True,1.0
38,hockey,2740,68,3,37,12.333333333333334,0.5441176470588235,0.9771761894226074,75.1683383067179,eos,True,1.0
39,music_platform_2,274,62,2,31,15.5,0.5,0.8585119247436523,76.14277679710032,eos,True,1.0
40,food_inspection_2,413,57,2,33,16.5,0.5789473684210527,0.7841231822967529,75.93394758220718,eos,True,1.0
41,car_retails,702,78,3,44,14.666666666666666,0.5641025641025641,1.2108314037322998,66.57511865090912,eos,True,1.0
42,movie_platform,601,47,2,29,14.5,0.6170212765957447,0.831916093826294,59.11029230630343,eos,True,1.0
