index,task_id,prompt_tokens,new_tokens,calls,total_iterations,avg_iter_per_call,avg_iter_per_token,time_sec,toks_per_sec,stop_reason
0,HumanEval/0,192,191,2,49,24.5,0.25654450261780104,1.9198253154754639,131.83261597852683,eos
1,HumanEval/1,183,197,2,52,26.0,0.2639593908629442,1.3321752548217773,152.17206737616914,eos
2,HumanEval/2,153,98,2,30,15.0,0.30612244897959184,0.7164573669433594,143.1306586894164,eos
3,HumanEval/3,187,149,2,32,16.0,0.21476510067114093,0.6962540149688721,224.3307566540766,eos
4,HumanEval/4,185,142,2,34,17.0,0.23943661971830985,0.7419872283935547,200.0599605257754,eos
5,HumanEval/5,160,127,2,32,16.0,0.25196850393700787,0.657848596572876,199.3127564579723,eos
6,HumanEval/6,180,193,2,51,25.5,0.26424870466321243,1.0442242622375488,190.75280532034088,eos
7,HumanEval/7,161,104,2,25,12.5,0.2403846153846154,0.49869775772094727,222.61039900491775,eos
8,HumanEval/8,180,157,2,34,17.0,0.21656050955414013,0.6615157127380371,244.78125148627655,eos
9,HumanEval/9,168,147,2,37,18.5,0.25170068027210885,0.7408120632171631,204.05022763079668,eos
10,HumanEval/10,210,356,2,60,30.0,0.16853932584269662,1.1537318229675293,316.17322966178017,eos
11,HumanEval/11,150,227,2,74,37.0,0.32599118942731276,1.440826177597046,160.945055636181,eos
12,HumanEval/12,170,117,2,29,14.5,0.24786324786324787,0.5181066989898682,234.48724013301967,eos
13,HumanEval/13,140,97,2,27,13.5,0.27835051546391754,0.4916415214538574,205.34687443071587,eos
14,HumanEval/14,127,78,2,22,11.0,0.28205128205128205,0.41156721115112305,202.9378084369536,eos
15,HumanEval/15,136,91,2,28,14.0,0.3076923076923077,0.49829959869384766,189.96583784902953,eos
16,HumanEval/16,138,83,2,25,12.5,0.30120481927710846,0.45178747177124023,196.7944428767763,eos
17,HumanEval/17,240,293,2,75,37.5,0.25597269624573377,1.3736445903778076,216.3194821242925,eos
18,HumanEval/18,156,154,2,40,20.0,0.2597402597402597,0.7127814292907715,222.35809453706503,eos
19,HumanEval/19,173,196,2,51,25.5,0.2602040816326531,0.9329941272735596,217.29733089571963,eos
20,HumanEval/20,234,304,2,72,36.0,0.23684210526315788,1.3052546977996826,238.05912496675847,eos
21,HumanEval/21,193,163,2,34,17.0,0.2085889570552147,0.6535882949829102,260.9385600987637,eos
22,HumanEval/22,160,104,2,23,11.5,0.22115384615384615,0.4244420528411865,257.01968836554744,eos
23,HumanEval/23,111,46,2,14,7.0,0.30434782608695654,0.26770663261413574,185.48285285701573,eos
24,HumanEval/24,121,85,2,21,10.5,0.24705882352941178,0.4014720916748047,227.49498565951546,eos
25,HumanEval/25,196,282,2,68,34.0,0.24113475177304963,1.1921563148498535,240.61146048556486,eos
26,HumanEval/26,152,118,2,27,13.5,0.2288135593220339,0.477886438369751,257.47739168003534,eos
27,HumanEval/27,116,67,2,20,10.0,0.29850746268656714,0.36576175689697266,193.2621883293811,eos
28,HumanEval/28,125,74,2,18,9.0,0.24324324324324326,0.34766149520874023,225.54823900851375,eos
29,HumanEval/29,155,98,2,21,10.5,0.21428571428571427,0.4059326648712158,261.47136204202286,eos
30,HumanEval/30,186,130,2,23,11.5,0.17692307692307693,0.43789029121398926,320.70863607574546,eos
31,HumanEval/31,174,205,2,45,22.5,0.21951219512195122,0.7951712608337402,264.4436462654139,eos
32,HumanEval/32,329,386,2,108,54.0,0.27979274611398963,1.9620554447174072,199.44480336361218,eos
33,HumanEval/33,218,256,2,81,40.5,0.31640625,1.428830623626709,181.8129006115604,eos
34,HumanEval/34,145,89,2,19,9.5,0.21348314606741572,0.36712217330932617,264.7493397869771,eos
35,HumanEval/35,155,90,2,18,9.0,0.2,0.34003639221191406,281.9743329754633,eos
36,HumanEval/36,152,137,2,37,18.5,0.27007299270072993,0.6871390342712402,205.46708956662016,eos
37,HumanEval/37,191,229,2,77,38.5,0.33624454148471616,1.3400661945343018,173.49296204381133,eos
38,HumanEval/38,226,258,2,41,20.5,0.15891472868217055,0.7260696887969971,365.7210818797607,eos
39,HumanEval/39,167,230,2,55,27.5,0.2391304347826087,0.9651987552642822,243.3287173494202,eos
40,HumanEval/40,227,227,2,48,24.0,0.21145374449339208,0.8557898998260498,274.18155293657827,eos
41,HumanEval/41,219,190,2,54,27.0,0.28421052631578947,0.9503898620605469,206.07980948515586,eos
42,HumanEval/42,181,123,2,22,11.0,0.17886178861788618,0.40367984771728516,320.6749753883869,eos
43,HumanEval/43,225,186,2,33,16.5,0.1774193548387097,0.6000378131866455,325.3619292845528,eos
44,HumanEval/44,165,150,2,44,22.0,0.29333333333333333,0.796419620513916,196.16043871952172,eos
45,HumanEval/45,114,63,2,21,10.5,0.3333333333333333,0.3816037178039551,177.705798905687,eos
46,HumanEval/46,240,276,2,64,32.0,0.2318840579710145,1.091632604598999,257.3561026930964,eos
47,HumanEval/47,149,140,2,33,16.5,0.2357142857142857,0.5997786521911621,245.93030404976602,eos
48,HumanEval/48,139,77,2,21,10.5,0.2727272727272727,0.382824182510376,213.31139673133617,eos
49,HumanEval/49,184,132,2,29,14.5,0.2196969696969697,0.5200731754302979,264.166195815206,eos
50,HumanEval/50,159,123,2,22,11.0,0.17886178861788618,0.3990356922149658,334.13064262331744,eos
51,HumanEval/51,190,146,2,33,16.5,0.22602739726027396,0.5917179584503174,260.71105094753227,eos
52,HumanEval/52,152,101,2,25,12.5,0.24752475247524752,0.4411137104034424,239.93766940321942,eos
53,HumanEval/53,122,61,2,18,9.0,0.29508196721311475,0.3237154483795166,200.44164521692534,eos
54,HumanEval/54,208,157,2,35,17.5,0.2229299363057325,0.6076898574829102,267.3913778260789,eos
55,HumanEval/55,123,127,2,29,14.5,0.2283464566929134,0.5150842666625977,261.21356476632167,eos
56,HumanEval/56,160,144,2,35,17.5,0.24305555555555555,0.6132254600524902,242.77821961628723,eos
57,HumanEval/57,159,113,2,28,14.0,0.24778761061946902,0.49263858795166016,238.79075970285092,eos
58,HumanEval/58,191,212,2,55,27.5,0.25943396226415094,0.961491584777832,225.05476651641098,eos
59,HumanEval/59,137,172,2,40,20.0,0.23255813953488372,0.6987650394439697,257.28740783494106,eos
60,HumanEval/60,172,116,2,26,13.0,0.22413793103448276,0.4664270877838135,260.22941363817137,eos
61,HumanEval/61,157,136,2,35,17.5,0.25735294117647056,0.6265873908996582,228.20366053944915,eos
62,HumanEval/62,178,134,2,37,18.5,0.27611940298507465,0.6493244171142578,217.1232554028866,eos
63,HumanEval/63,218,220,2,52,26.0,0.23636363636363636,0.9026393890380859,249.2633118592221,eos
64,HumanEval/64,194,163,2,49,24.5,0.3006134969325153,0.989260196685791,168.03625252039495,eos
65,HumanEval/65,154,144,2,44,22.0,0.3055555555555556,0.8344647884368896,179.06269703408918,eos
66,HumanEval/66,188,141,2,33,16.5,0.23404255319148937,0.5790388584136963,252.24626688718718,eos
68,HumanEval/68,383,709,2,107,53.5,0.15091678420310295,1.8021211624145508,399.635650856574,eos
69,HumanEval/69,233,215,2,53,26.5,0.24651162790697675,0.9169209003448486,241.76635133049777,eos
70,HumanEval/70,192,174,2,46,23.0,0.26436781609195403,0.7857081890106201,227.37818971322332,eos
71,HumanEval/71,191,208,2,54,27.0,0.25961538461538464,0.9261057376861572,229.4403684356712,eos
72,HumanEval/72,298,434,2,78,39.0,0.17972350230414746,1.345663070678711,328.8208654499834,eos
73,HumanEval/73,225,209,2,46,23.0,0.22009569377990432,0.7812635898590088,274.3073753228107,eos
74,HumanEval/74,261,300,2,76,38.0,0.25333333333333335,1.2786870002746582,238.27163719069168,eos
75,HumanEval/75,151,200,2,53,26.5,0.265,0.9156568050384521,223.14754002149132,eos
76,HumanEval/76,210,194,2,45,22.5,0.23195876288659795,0.7802584171295166,255.18885430874536,eos
77,HumanEval/77,181,176,2,51,25.5,0.2897727272727273,1.1116578578948975,161.1463932765993,eos
78,HumanEval/78,383,393,2,108,54.0,0.2748091603053435,1.8611226081848145,213.52296751871353,eos
79,HumanEval/79,215,187,2,49,24.5,0.2620320855614973,0.8437139987945557,226.99996836930407,eos
80,HumanEval/80,189,189,2,47,23.5,0.24867724867724866,0.8191072940826416,240.39147550183566,eos
81,HumanEval/81,338,522,2,98,49.0,0.18773946360153257,1.6663446426391602,317.15570916405903,eos
82,HumanEval/82,149,147,2,36,18.0,0.24489795918367346,0.6285321712493896,241.42831746348733,eos
83,HumanEval/83,112,81,2,25,12.5,0.30864197530864196,0.44196081161499023,191.78158056127518,eos
84,HumanEval/84,215,190,2,52,26.0,0.2736842105263158,0.8909285068511963,218.08256392463517,eos
