index,task_id,prompt_tokens,new_tokens,calls,total_iterations,avg_iter_per_call,avg_iter_per_token,time_sec,toks_per_sec,stop_reason
0,HumanEval/0,192,192,50,105,2.1,0.546875,1.767280101776123,135.1320055262155,eos
1,HumanEval/1,183,194,50,111,2.22,0.5721649484536082,1.4293291568756104,139.65430497297845,eos
2,HumanEval/2,153,98,26,55,2.1153846153846154,0.5612244897959183,0.7252414226531982,141.2287589442518,eos
3,HumanEval/3,187,149,39,78,2.0,0.5234899328859061,1.0137436389923096,151.21114662824755,eos
4,HumanEval/4,185,147,38,80,2.1052631578947367,0.54421768707483,1.0382180213928223,145.95359992198013,eos
5,HumanEval/5,160,129,34,68,2.0,0.5271317829457365,0.8950514793395996,149.67626890405978,eos
6,HumanEval/6,180,193,50,110,2.2,0.5699481865284974,1.4031291007995605,140.67641713982772,eos
7,HumanEval/7,161,104,28,55,1.9642857142857142,0.5288461538461539,0.7370591163635254,146.24898932655418,eos
8,HumanEval/8,180,161,42,88,2.0952380952380953,0.546583850931677,1.1341016292572021,144.94057433721193,eos
9,HumanEval/9,168,147,38,84,2.210526315789474,0.5714285714285714,1.0821442604064941,139.64295786011863,eos
10,HumanEval/10,210,189,49,103,2.1020408163265305,0.544973544973545,1.3327829837799072,145.7969157590265,eos
11,HumanEval/11,150,122,32,65,2.03125,0.5327868852459017,0.8480074405670166,148.39647234959818,eos
12,HumanEval/12,170,124,33,66,2.0,0.532258064516129,0.8730044364929199,146.75112831019925,eos
13,HumanEval/13,140,97,26,52,2.0,0.5360824742268041,0.6906301975250244,146.4238601985883,eos
14,HumanEval/14,127,78,21,43,2.0476190476190474,0.5512820512820513,0.5732512474060059,141.91638568899103,eos
15,HumanEval/15,136,91,24,53,2.2083333333333335,0.5824175824175825,0.6862204074859619,137.19348105818347,eos
16,HumanEval/16,138,83,22,45,2.0454545454545454,0.5421686746987951,0.5930957794189453,145.49548487046047,eos
17,HumanEval/17,240,293,75,163,2.1733333333333333,0.5563139931740614,2.0893633365631104,143.47596627698204,eos
18,HumanEval/18,156,154,40,86,2.15,0.5584415584415584,1.1137824058532715,142.08191850970138,eos
19,HumanEval/19,173,204,53,105,1.9811320754716981,0.5147058823529411,1.3600711822509766,153.58649610882787,eos
20,HumanEval/20,234,333,85,193,2.2705882352941176,0.5795795795795796,2.457139015197754,138.0528200736999,eos
21,HumanEval/21,193,163,42,84,2.0,0.5153374233128835,1.0840132236480713,154.83127370429608,eos
22,HumanEval/22,160,104,28,53,1.8928571428571428,0.5096153846153846,0.7011971473693848,152.62527808558,eos
23,HumanEval/23,111,54,15,32,2.1333333333333333,0.5925925925925926,0.43135809898376465,133.857002395843,eos
24,HumanEval/24,121,92,25,53,2.12,0.5760869565217391,0.7039461135864258,135.7123293583576,eos
25,HumanEval/25,196,173,45,93,2.066666666666667,0.5375722543352601,1.2013511657714844,147.8660907814876,eos
26,HumanEval/26,152,118,31,66,2.129032258064516,0.559322033898305,0.8569149971008301,141.90255283909823,eos
27,HumanEval/27,116,75,20,42,2.1,0.56,0.5585715770721436,140.03022060574796,eos
28,HumanEval/28,125,61,17,33,1.9411764705882353,0.5409836065573771,0.44393444061279297,144.27848621825459,eos
29,HumanEval/29,155,98,26,51,1.9615384615384615,0.5204081632653061,0.6654946804046631,152.84990577248675,eos
30,HumanEval/30,186,138,36,79,2.1944444444444446,0.572463768115942,1.0234034061431885,138.57933989116444,eos
31,HumanEval/31,174,197,51,105,2.0588235294117645,0.5329949238578681,1.348480463027954,149.58354095812226,eos
32,HumanEval/32,329,444,113,254,2.247787610619469,0.5720720720720721,3.2282211780548096,140.0237662972346,eos
33,HumanEval/33,218,281,72,169,2.3472222222222223,0.6014234875444839,2.1274991035461426,134.61158373942433,eos
34,HumanEval/34,145,89,24,50,2.0833333333333335,0.5617977528089888,0.6628053188323975,139.2212147831573,eos
35,HumanEval/35,155,98,26,55,2.1153846153846154,0.5612244897959183,0.7194404602050781,139.89270158323498,eos
36,HumanEval/36,152,143,37,87,2.3513513513513513,0.6083916083916084,1.1067934036254883,131.7790286083287,eos
37,HumanEval/37,191,203,52,123,2.3653846153846154,0.6059113300492611,1.556013584136963,133.3064534976288,eos
38,HumanEval/38,226,258,66,136,2.0606060606060606,0.5271317829457365,1.757359504699707,150.0826960981235,eos
39,HumanEval/39,167,248,64,136,2.125,0.5483870967741935,1.7521820068359375,144.52026827969394,eos
40,HumanEval/40,227,225,58,123,2.1206896551724137,0.5466666666666666,1.5714187622070312,146.56050011485175,eos
41,HumanEval/41,219,163,42,97,2.3095238095238093,0.5950920245398773,1.2298862934112549,136.0641128066469,eos
42,HumanEval/42,181,131,34,70,2.0588235294117645,0.5343511450381679,0.9022927284240723,149.6596637473142,eos
43,HumanEval/43,225,281,72,160,2.2222222222222223,0.5693950177935944,2.0203094482421875,141.89215084084952,eos
44,HumanEval/44,165,145,38,85,2.236842105263158,0.5862068965517241,1.088653802871704,136.90502055324816,eos
45,HumanEval/45,114,63,17,37,2.176470588235294,0.5873015873015873,0.4877800941467285,135.4039386372991,eos
46,HumanEval/46,240,279,71,164,2.3098591549295775,0.5878136200716846,2.058328866958618,137.63849244036209,eos
47,HumanEval/47,149,143,37,81,2.189189189189189,0.5664335664335665,1.0322251319885254,142.2567543856436,eos
48,HumanEval/48,139,80,22,43,1.9545454545454546,0.5375,0.5738639831542969,145.12089799309345,eos
