index,task_id,prompt_tokens,new_tokens,calls,total_iterations,avg_iter_per_call,avg_iter_per_token,time_sec,toks_per_sec,stop_reason
0,HumanEval/0,192,161,2,67,33.5,0.4161490683229814,2.8968708515167236,55.5772101181883,eos
1,HumanEval/1,183,200,2,94,47.0,0.47,3.168297529220581,63.12538458128998,eos
2,HumanEval/2,153,98,2,47,23.5,0.47959183673469385,1.56723952293396,62.530327091635954,eos
3,HumanEval/3,187,149,2,65,32.5,0.436241610738255,2.0314066410064697,73.34818986619895,eos
4,HumanEval/4,185,142,2,66,33.0,0.4647887323943662,2.0800271034240723,68.26834119913354,eos
5,HumanEval/5,160,137,2,54,27.0,0.39416058394160586,1.6298680305480957,84.05588515895323,eos
6,HumanEval/6,180,189,2,90,45.0,0.47619047619047616,2.798600196838379,67.53376213348237,eos
7,HumanEval/7,161,112,2,47,23.5,0.41964285714285715,1.4424970149993896,77.64314160473143,eos
8,HumanEval/8,180,161,2,67,33.5,0.4161490683229814,2.0185959339141846,79.75840894904155,eos
9,HumanEval/9,168,139,2,54,27.0,0.38848920863309355,1.6854095458984375,82.472536327011,eos
10,HumanEval/10,210,189,2,85,42.5,0.4497354497354497,2.557736873626709,73.89344930231621,eos
11,HumanEval/11,150,189,2,95,47.5,0.5026455026455027,2.8848822116851807,65.51393995722175,eos
12,HumanEval/12,170,124,2,54,27.0,0.43548387096774194,1.6881742477416992,73.45213337182285,eos
13,HumanEval/13,140,97,2,44,22.0,0.4536082474226804,1.3375868797302246,72.51865390572891,eos
14,HumanEval/14,127,86,2,42,21.0,0.4883720930232558,1.3857028484344482,62.062367914709746,eos
15,HumanEval/15,136,91,2,43,21.5,0.4725274725274725,1.3189113140106201,68.99629947314808,eos
16,HumanEval/16,138,83,2,39,19.5,0.46987951807228917,1.1854000091552734,70.01855859537788,eos
17,HumanEval/17,240,208,2,87,43.5,0.4182692307692308,2.6563663482666016,78.30245257237554,eos
18,HumanEval/18,156,154,2,69,34.5,0.44805194805194803,2.0822861194610596,73.9571755104714,eos
19,HumanEval/19,173,204,2,89,44.5,0.4362745098039216,2.726517677307129,74.82071423849433,eos
20,HumanEval/20,234,256,3,99,33.0,0.38671875,3.1257054805755615,81.90151042409173,eos
21,HumanEval/21,193,158,2,58,29.0,0.3670886075949367,1.7359318733215332,91.01739672403312,eos
22,HumanEval/22,160,104,2,40,20.0,0.38461538461538464,1.2682456970214844,82.00303793204056,eos
23,HumanEval/23,111,54,2,28,14.0,0.5185185185185185,0.8491225242614746,63.59506249933314,eos
