index,task_id,prompt_tokens,new_tokens,calls,total_iterations,avg_iter_per_call,avg_iter_per_token,time_sec,toks_per_sec,stop_reason
0,HumanEval/0,192,164,3,50,16.666666666666668,0.3048780487804878,2.3441250324249268,87.35032088585238,eos
1,HumanEval/1,183,200,3,73,24.333333333333332,0.365,2.1612863540649414,94.98421058395536,eos
2,HumanEval/2,153,98,2,32,16.0,0.32653061224489793,0.9135317802429199,115.08541445050103,eos
3,HumanEval/3,187,149,3,51,17.0,0.3422818791946309,1.4572839736938477,105.67291250636195,eos
4,HumanEval/4,185,147,3,39,13.0,0.2653061224489796,1.0192675590515137,152.10487489833247,eos
5,HumanEval/5,160,127,2,38,19.0,0.2992125984251969,0.9815397262573242,134.777404537325,eos
6,HumanEval/6,180,193,3,74,24.666666666666668,0.38341968911917096,1.7936761379241943,110.31002434926206,eos
7,HumanEval/7,161,104,2,28,14.0,0.2692307692307692,0.7095947265625,155.2496956146713,eos
8,HumanEval/8,180,161,3,49,16.333333333333332,0.30434782608695654,1.1760284900665283,141.20598444710123,eos
9,HumanEval/9,168,144,3,40,13.333333333333334,0.2777777777777778,1.1109449863433838,135.66687480339527,eos
10,HumanEval/10,210,193,3,66,22.0,0.34196891191709844,1.6277477741241455,122.70144480566356,eos
11,HumanEval/11,150,154,3,53,17.666666666666668,0.34415584415584416,1.3959331512451172,115.20763501307835,eos
12,HumanEval/12,170,147,3,46,15.333333333333334,0.3129251700680272,1.117805004119873,140.08669217615133,eos
13,HumanEval/13,140,97,2,33,16.5,0.3402061855670103,0.8349432945251465,123.09387267188531,eos
14,HumanEval/14,127,78,2,21,10.5,0.2692307692307692,0.5522394180297852,157.05303527300907,eos
15,HumanEval/15,136,91,2,29,14.5,0.31868131868131866,0.974066972732544,98.75069980084447,eos
16,HumanEval/16,138,83,2,31,15.5,0.37349397590361444,0.7823929786682129,111.64636231698982,eos
17,HumanEval/17,240,293,4,108,27.0,0.36860068259385664,3.2220542430877686,92.8094525058572,eos
18,HumanEval/18,156,146,3,46,15.333333333333334,0.3150684931506849,1.2661330699920654,120.90802583255707,eos
19,HumanEval/19,173,196,3,59,19.666666666666668,0.3010204081632653,1.75856351852417,114.77439615950793,eos
20,HumanEval/20,234,314,4,97,24.25,0.3089171974522293,2.647508382797241,121.04917295150021,eos
21,HumanEval/21,193,163,3,52,17.333333333333332,0.31901840490797545,1.4041295051574707,121.17991804158162,eos
22,HumanEval/22,160,104,2,21,10.5,0.20192307692307693,0.5465760231018066,202.2220048940357,eos
23,HumanEval/23,111,54,2,22,11.0,0.4074074074074074,0.6148672103881836,97.4838339313504,eos
24,HumanEval/24,121,92,2,30,15.0,0.32608695652173914,0.773404598236084,127.96205165755052,eos
25,HumanEval/25,196,195,3,59,19.666666666666668,0.30256410256410254,1.5764832496643066,127.3725086955417,eos
26,HumanEval/26,152,118,2,33,16.5,0.2796610169491525,1.0721900463104248,114.63082924416328,eos
27,HumanEval/27,116,75,2,28,14.0,0.37333333333333335,0.8266000747680664,98.76763525767929,eos
28,HumanEval/28,125,61,2,20,10.0,0.32786885245901637,0.6027076244354248,110.32459640496025,eos
29,HumanEval/29,155,98,2,30,15.0,0.30612244897959184,0.8481662273406982,121.17112836191764,eos
30,HumanEval/30,186,138,3,42,14.0,0.30434782608695654,1.2802205085754395,112.3870713888978,eos
31,HumanEval/31,174,205,3,61,20.333333333333332,0.2975609756097561,1.718278169631958,123.9178850208569,eos
32,HumanEval/32,329,385,5,139,27.8,0.36103896103896105,3.7715673446655273,104.60506183829902,eos
33,HumanEval/33,218,259,4,103,25.75,0.39768339768339767,2.599569797515869,101.9699823820575,eos
34,HumanEval/34,145,89,2,27,13.5,0.30337078651685395,0.7722880840301514,122.38724376509951,eos
35,HumanEval/35,155,98,2,31,15.5,0.3163265306122449,0.8076252937316895,127.33058595997655,eos
36,HumanEval/36,152,140,3,41,13.666666666666666,0.29285714285714287,1.0285849571228027,141.64899085442804,eos
37,HumanEval/37,191,163,3,64,21.333333333333332,0.39263803680981596,1.600151538848877,105.20105842379867,eos
38,HumanEval/38,226,258,4,91,22.75,0.35271317829457366,2.1811301708221436,121.3513155911302,eos
39,HumanEval/39,167,236,3,74,24.666666666666668,0.3135593220338983,1.7758405208587646,136.72058330827386,eos
40,HumanEval/40,227,227,3,80,26.666666666666668,0.3524229074889868,1.8950824737548828,122.76786582496241,eos
41,HumanEval/41,219,163,3,78,26.0,0.4785276073619632,1.8707175254821777,89.56873603500924,eos
42,HumanEval/42,181,131,3,35,11.666666666666666,0.26717557251908397,0.8763737678527832,158.23860573342932,eos
43,HumanEval/43,225,194,3,62,20.666666666666668,0.31958762886597936,1.5156364440917969,132.1573816891006,eos
44,HumanEval/44,165,150,3,46,15.333333333333334,0.30666666666666664,1.1382911205291748,137.98463039086073,eos
45,HumanEval/45,114,63,2,23,11.5,0.36507936507936506,0.5908107757568359,117.08562658382952,eos
46,HumanEval/46,240,276,4,88,22.0,0.3188405797101449,2.106905221939087,133.97858104162808,eos
47,HumanEval/47,149,140,3,42,14.0,0.3,1.0239231586456299,143.88824055864222,eos
48,HumanEval/48,139,85,2,33,16.5,0.38823529411764707,0.8059887886047363,111.48930996923585,eos
49,HumanEval/49,184,132,3,43,14.333333333333334,0.32575757575757575,1.0488896369934082,131.95598791876637,eos
50,HumanEval/50,159,122,2,41,20.5,0.3360655737704918,0.9953594207763672,128.2884566536097,eos
51,HumanEval/51,190,154,3,64,21.333333333333332,0.4155844155844156,1.5354297161102295,103.58295275962428,eos
52,HumanEval/52,152,101,2,36,18.0,0.3564356435643564,0.8160300254821777,128.45480992322243,eos
53,HumanEval/53,122,69,2,26,13.0,0.37681159420289856,0.6055779457092285,122.18236053671905,eos
54,HumanEval/54,208,157,3,53,17.666666666666668,0.3375796178343949,1.2813258171081543,127.12529051935138,eos
55,HumanEval/55,123,127,2,34,17.0,0.2677165354330709,0.8514411449432373,158.09997472528906,eos
